title,doi,tq,altmetric_jid,issns,journal,cohorts.pub,context.all.count,context.all.mean,context.all.rank,context.all.pct,context.all.higher_than,context.journal.count,context.journal.mean,context.journal.rank,context.journal.pct,context.journal.higher_than,context.similar_age_3m.count,context.similar_age_3m.mean,context.similar_age_3m.rank,context.similar_age_3m.pct,context.similar_age_3m.higher_than,context.similar_age_journal_3m.count,context.similar_age_journal_3m.mean,context.similar_age_journal_3m.rank,context.similar_age_journal_3m.pct,context.similar_age_journal_3m.higher_than,authors1,authors2,authors3,authors4,authors5,type,altmetric_id,schema,is_oa,cited_by_posts_count,cited_by_tweeters_count,cited_by_accounts_count,last_updated,score,history.1y,history.6m,history.3m,history.1m,history.1w,history.6d,history.5d,history.4d,history.3d,history.2d,history.1d,history.at,url,added_on,published_on,readers.citeulike,readers.mendeley,readers.connotea,readers_count,images.small,images.medium,images.large,details_url,pmid,pmc,tq1,tq2,tq3,cohorts.sci,abstract,authors,tq4,tq5,cohorts.com,authors6,authors7,authors8,authors9,cited_by_feeds_count,authors10,authors11,uri,authors12,authors13,authors14,authors15,authors16,authors17,authors18,authors19,authors20,authors21,cohorts.doc,cited_by_fbwalls_count,cited_by_msm_count,cited_by_gplus_count,authors22,authors23,authors24,cited_by_peer_review_sites_count,authors25,authors26,authors27,authors28,authors29,authors30,authors31,authors32,authors33,authors34,authors35,authors36,authors37,authors38,handles,handle,authors39,authors40,authors41,authors42,authors43,authors44,authors45,authors46,authors47,authors48,authors49,authors50,authors51,authors52,authors53,authors54,authors55,authors56,authors57,authors58,authors59,authors60,authors61
Functional assessment of the NMDA receptor variant GluN2AR586K,10.12688/wellcomeopenres.10985.2,"Unlikely that GluN2AR586K variant contributes to the pathogenesis of neurodevelopmental disorder, according",58060de0aee83e94258b4567,2398-502X,Wellcome Open Research,1,8599274,7.1909022655676,6528251,13,1167149,142,8.8951205673759,124,3,5,252243,12.797366877839,178936,17,44361,28,4.5485185185185,22,1,0,Katie F.M. Marwick,Peter Parker,Paul Skehel,Giles Hardingham,David J.A. Wyllie,article,19788149,1.5.4,FALSE,2,1,1,1494000004,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,http://dx.doi.org/10.12688/wellcomeopenres.10985.2,1493744419,1493164800,0,0,0,0,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,http://www.altmetric.com/details.php?citation_id=19788149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Stafford-Clark (1916-1999): Seeing through a celebrity psychiatrist,10.12688/wellcomeopenres.11411.1,NA,58060de0aee83e94258b4567,2398-502X,Wellcome Open Research,4,8686406,7.2799673738347,2244243,73,6420809,154,8.7507320261438,90,40,62,253175,12.910739633611,85297,65,166729,33,4.42675,17,48,16,NA,NA,NA,NA,NA,article,19637006,1.5.4,FALSE,9,5,5,1496132607,3.1,3.1,0,0,0,0,0,0,0,0,0,0,3.1,http://dx.doi.org/10.12688/wellcomeopenres.11411.1,1493309863,1493164800,0,1,0,1,https://badges.altmetric.com/?size=64&score=4&types=tttttttt,https://badges.altmetric.com/?size=100&score=4&types=tttttttt,https://badges.altmetric.com/?size=180&score=4&types=tttttttt,http://www.altmetric.com/details.php?citation_id=19637006,28503668,PMC5426535,The cultural authority of British #psychiatrist David Stafford-Clark in post-war Britain,Ouch! The cart of celebrity had come before the horse of achievement. Analysis of a postwar UK celebrity doctor,"David Stafford-Clark, a talented lecturer and broadcaster, delivered mass media sermons #Celebrity #psychiatrist",1,"This article uses the mass-media career of the British psychiatrist David Stafford-Clark (1916-1999) as a case study in the exercise of cultural authority by celebrity medical professionals in post-war Britain. Stafford-Clark rose to prominence in the mass media, particularly through his presenting work on medical and related topics for BBC TV and Radio, and was in the vanguard of psychiatrists and physicians who eroded professional edicts on anonymity. At the height of his career, he traded upon his celebrity status, and consequent cultural authority, to deliver mass media sermons on a variety of social, cultural, and political topics. Stafford-Clark tried to preserve his sense of personal and intellectual integrity by clinging to a belief that his authority in the public sphere was ultimately to be vindicated by his literary, intellectual, and spiritual significance. But as his credibility dwindled, he came to distrust the cultural intermediaries, such as broadcasters and publishers, who had supported him.",Gavin Miller,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parasites lacking the micronemal protein MIC2 are deficient in surface attachment and host cell egress, but remain virulent in vivo",10.12688/wellcomeopenres.11594.1,NA,58060de0aee83e94258b4567,2398-502X,Wellcome Open Research,10,8409255,7.0791347310873,556991,93,7852226,121,8.8749833333333,14,88,107,244622,12.654540852993,27662,88,216951,34,3.7509090909091,1,97,33,Simon Gras,Allison Jackson,Stuart Woods,Gurman Pall,Jamie Whitelaw,article,20303628,1.5.4,FALSE,19,13,14,1498141620,15.83,15.83,15.83,0,0,0,0,0,0,0,0,0,15.83,http://dx.doi.org/10.12688/wellcomeopenres.11594.1,1495214197,1495152000,0,6,0,6,https://badges.altmetric.com/?size=64&score=16&types=bttttttt,https://badges.altmetric.com/?size=100&score=16&types=bttttttt,https://badges.altmetric.com/?size=180&score=16&types=bttttttt,http://www.altmetric.com/details.php?citation_id=20303628,28630943,PMC5473411,Researchers surprised by results after re-analysis of mic2 protein function in #Plasmodium #parasite's life cycle,Our study on MIC2 is online in Wellcome Open Research,#Parasites lacking the micronemal #protein MIC2 are deficient in surface attachment and host cell egress,2,"Background: Micronemal proteins of the thrombospondin-related anonymous protein (TRAP) family are believed to play essential roles during gliding motility and host cell invasion by apicomplexan parasites, and currently represent major vaccine candidates against Plasmodium falciparum, the causative agent of malaria. However, recent evidence suggests that they play multiple and different roles than previously assumed. Here, we analyse a null mutant for MIC2, the TRAP homolog in Toxoplasma gondii. Methods: We performed a careful analysis of parasite motility in a 3D-environment, attachment under shear stress conditions, host cell invasion and in vivo virulence. Results: We verified the role of MIC2 in efficient surface attachment, but were unable to identify any direct function of MIC2 in sustaining gliding motility or host cell invasion once initiated. Furthermore, we find that deletion of mic2 causes a slightly delayed infection in vivo, leading only to mild attenuation of virulence; like with wildtype parasites, inoculation with even low numbers of mic2 KO parasites causes lethal disease in mice. However, deletion of mic2 causes delayed host cell egress in vitro, possibly via disrupted signal transduction pathways. Conclusions: We confirm a critical role of MIC2 in parasite attachment to the surface, leading to reduced parasite motility and host cell invasion. However, MIC2 appears to not be critical for gliding motility or host cell invasion, since parasite speed during these processes is unaffected. Furthermore, deletion of MIC2 leads only to slight attenuation of the parasite.",NA,"Parasites lacking the micronemal protein MIC2 are deficient in surface attachment and host cell egress, but remain…",Great work @MeissnerLab Tgondii lacking MIC2 deficient in attachment/egress but still virulent @WellcomeOpenResearch,1,Jacqueline M. Leung,Gary E. Ward,Craig W. Roberts,Markus Meissner,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A CRISPR/Cas9-based method and primer design tool for seamless genome editing in fission yeast,10.12688/wellcomeopenres.10038.3,NA,58060de0aee83e94258b4567,2398-502X,Wellcome Open Research,4,8430317,7.0913096536278,1738042,79,6687483,123,8.8358852459016,54,56,69,249430,12.605334367695,66824,73,182252,33,4.139375,11,66,22,María Rodríguez-López,Cristina Cotobal,Oscar Fernández-Sánchez,Natalia Borbarán Bravo,Risky Oktriani,article,19954040,1.5.4,FALSE,12,9,9,1498536243,4.8,4.8,4.8,0,0,0,0,0,0,0,0,0,4.8,http://dx.doi.org/10.12688/wellcomeopenres.10038.3,1494243492,1493942400,0,25,0,25,https://badges.altmetric.com/?size=64&score=5&types=tttttttt,https://badges.altmetric.com/?size=100&score=5&types=tttttttt,https://badges.altmetric.com/?size=180&score=5&types=tttttttt,http://www.altmetric.com/details.php?citation_id=19954040,28612052,PMC5445975,"Better, faster, more efficient gene manipulation in Pombe.",Method article suggests steps to improve efficiency of CRISPR/Cas9 system #CRISPR #cryopreserved cells,NA,5,"In the fission yeast Schizosaccharomyces pombe the prevailing approach for gene manipulations is based on homologous recombination of a PCR product that contains genomic target sequences and a selectable marker. The CRISPR/Cas9 system has recently been implemented in fission yeast, which allows for seamless genome editing without integration of a selection marker or leaving any other genomic 'scars'. The published method involves manual design of the single guide RNA (sgRNA), and digestion of a large plasmid with a problematic restriction enzyme to clone the sgRNA. To increase the efficiency of this approach, we have established and optimized a PCR-based system to clone the sgRNA without restriction enzymes into a plasmid with a dominant natMX6 (nourseothricin) selection marker. We also provide a web-tool, CRISPR4P, to support the design of the sgRNAs and the primers required for the entire process of seamless DNA deletion. Moreover, we report the preparation of G1-synchronized and cryopreserved S. pombe cells, which greatly increases the efficiency and speed for transformations, and may also facilitate standard gene manipulations. Applying this optimized CRISPR/Cas9-based approach, we have successfully deleted over 80 different non-coding RNA genes, which are generally lowly expressed, and have inserted 7 point mutations in 4 different genomic regions.",NA,NA,NA,NA,Heike Abendroth,Dardan Uka,Mimoza Hoti,Jin Wang,NA,Mikel Zaratiegui,Jürg Bähler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impact of IL-27 on hepatocyte antiviral gene expression and function,10.12688/wellcomeopenres.9917.1,NA,58060de0aee83e94258b4567,2398-502X,Wellcome Open Research,1,8082038,6.8946982576228,6993690,1,0,95,8.9135957446809,94,1,0,261418,12.831866864052,216344,1,0,27,7.801,26,1,0,Narayan Ramamurthy,Sara Boninsegna,Rebecca Adams,Natasha Sahgal,Helen Lockstone,article,15821092,1.5.4,FALSE,1,1,1,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0.25,http://dx.doi.org/10.12688/wellcomeopenres.9917.1,1485408518,1479340800,0,5,0,5,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,http://www.altmetric.com/details.php?citation_id=15821092,28058287,PMC5207303,NA,NA,NA,NA,"Background: Interleukin (IL)-27 is a member of the IL-6/IL-12 family of cytokines. It is a potent cytokine, with potential antiviral impact, and has been shown to play a role in modulating functions of diverse cell types, including Th1, Th2, and NK and B cells, demonstrating both pro- and anti-inflammatory roles.  In hepatocytes, it is capable of inducing signal transducer and activator of transcription (STAT)1, STAT3 and interferon-stimulated genes. Methods: To address its role in viral hepatitis, the antiviral activity of IL-27 against hepatitis C virus (HCV) and hepatitis B virus (HBV) was tested in vitro using cell-culture-derived infectious HCV (HCVcc) cell culture system and the HepaRG HBV cell culture model. To further investigate the impact of IL-27 on hepatocytes, Huh7.5 cells were treated with IL-27 to analyse the differentially expressed genes by microarray analysis. Furthermore, by quantitative PCR, we analyzed the up-regulation of chemokine (CXCL)-10 in response to IL-27. Results: In both HCV and HBV infection models, we observed only a modest direct antiviral effect. Microarray analysis showed that the up-regulated genes mostly belonged to antigen presentation and DNA replication pathways, and involved strong up-regulation of CXCL-10, a gene associated with liver inflammation. Overall, gene set enrichment analysis showed a striking correlation of these genes with those up-regulated in response to related cytokines in diverse cell populations. Conclusion: Our data indicate that IL-27 can have a significant pro-inflammatory impact in vitro, although the direct antiviral effect is modest. It may have a potential impact on hepatocyte function, especially chemokine expression and antigen presentation.",NA,NA,NA,NA,Dilair Baban,Emanuele Marchi,Paul Klenerman,NA,NA,NA,NA,https://wellcomeopenresearch.org/articles/1-17/v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The effect of imatinib therapy on tumour cycling hypoxia, tissue oxygenation and vascular reactivity",10.12688/wellcomeopenres.11715.1,Study used BOLD and OE-MRI imaging #biomarkers to assess both chronic and transient changes in #hypoxia,58060de0aee83e94258b4567,2398-502X,Wellcome Open Research,1,8331095,7.02255168024,6322173,13,1127968,114,9.2369734513274,98,1,2,241536,12.444407568261,170748,18,44608,32,4.0438709677419,27,1,0,Miguel R. Gonçalves,Sean Peter Johnson,Rajiv Ramasawmy,Mark F. Lythgoe,R. Barbara Pedley,article,20880830,1.5.4,FALSE,1,1,1,1496849809,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,http://dx.doi.org/10.12688/wellcomeopenres.11715.1,1496849821,1496707200,0,1,0,1,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,http://www.altmetric.com/details.php?citation_id=20880830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simon Walker-Samuel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pathogenic mycobacteria achieve cellular persistence by inhibiting the Niemann-Pick Type C disease cellular pathway,10.12688/wellcomeopenres.10036.2,NA,58060de0aee83e94258b4567,2398-502X,Wellcome Open Research,3,8523120,7.1474401199761,3934376,52,4502680,134,8.7376842105263,97,24,33,243536,13.01274595438,108865,53,130573,37,7.1725,27,27,10,Paul Fineran,Emyr Lloyd-Evans,Nathan A. Lack,Nick Platt,Lianne C. Davis,article,21223978,1.5.4,FALSE,7,4,4,1500363810,1.75,1.75,1.75,0,0,0,0,0,0,0,0,0,1.75,http://dx.doi.org/10.12688/wellcomeopenres.10036.2,1498055707,1498003200,0,24,0,0,https://badges.altmetric.com/?size=64&score=2&types=tttttttt,https://badges.altmetric.com/?size=100&score=2&types=tttttttt,https://badges.altmetric.com/?size=180&score=2&types=tttttttt,http://www.altmetric.com/details.php?citation_id=21223978,NA,NA,How #infectious organisms hijack the cellular machinery manipulate it for their own survival,How #infectious organisms hijack the cellular machinery manipulate it for their own survival … #Pathogens,#Mycobacteria are capable of preventing host phagosome-lysosomal fusion Novel therapies to com…,1,NA,NA,#Mycobacteria are capable of preventing host phagosome-lysosomal fusion Novel therapies to combat #tuberculosis,NA,NA,Anthony J. Morgan,Doris Höglinger,Raju Venkata V. Tatituri,Simon Clark,NA,Ian M. Williams,Patricia Tynan,NA,Nada Al Eisa,Evgeniya Nazarova,Ann Williams,Antony Galione,Daniel S. Ory,Gurdyal S. Besra,David G. Russell,Michael B. Brenner,Edith Sim,Frances M. Platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SeqPlots - Interactive software for exploratory data analyses, pattern discovery and visualization in genomics",10.12688/wellcomeopenres.10004.1,NA,58060de0aee83e94258b4567,2398-502X,Wellcome Open Research,20,8217693,6.9593848735079,300092,96,7917670,103,8.9233529411765,8,92,95,234041,13.100186609126,17030,92,217011,26,18.24336,6,76,20,Przemyslaw Stempor,Julie Ahringer,"Stempor, Przemyslaw","Ahringer, Julie",NA,article,13634356,1.5.4,FALSE,43,37,38,1482582889,29.196,29.196,0,0,0,0,0,0,0,0,0,0,29.196,http://dx.doi.org/10.12688/wellcomeopenres.10004.1,1479215096,1479168000,2,23,0,25,https://badges.altmetric.com/?size=64&score=30&types=bttttttt,https://badges.altmetric.com/?size=100&score=30&types=bttttttt,https://badges.altmetric.com/?size=180&score=30&types=bttttttt,http://www.altmetric.com/details.php?citation_id=13634356,27918597,NA,"Very Cool! SeqPlots - Interactive software - exploratory analyses, pattern discovery and visualization in genomics","Article on a #software tool for data analyses, pattern discovery visualization in #genomics passed #peerreview!","SeqPlots: an interactive software for exploratory data analyses, pattern discovery and visualization in #genomics",17,"Experiments involving high-throughput sequencing are widely used for analyses of chromatin function and gene expression. Common examples are the use of chromatin immunoprecipitation for the analysis of chromatin modifications or factor binding, enzymatic digestions for chromatin structure assays, and RNA sequencing to assess gene expression changes after biological perturbations. To investigate the pattern and abundance of coverage signals across regions of interest, data are often visualized as profile plots of average signal or stacked rows of signal in the form of heatmaps. We found that available plotting software was either slow and laborious or difficult to use by investigators with little computational training, which inhibited wide data exploration. To address this need, we developed SeqPlots, a user-friendly exploratory data analysis (EDA) and visualization software for genomics. After choosing groups of signal and feature files and defining plotting parameters, users can generate profile plots of average signal or heatmaps clustered using different algorithms in a matter of seconds through the graphical user interface (GUI) controls. SeqPlots accepts all major genomic file formats as input and can also generate and plot user defined motif densities. Profile plots and heatmaps are highly configurable and batch operations can be used to generate a large number of plots at once. SeqPlots is available as a GUI application for Mac or Windows and Linux, or as an R/Bioconductor package. It can also be deployed on a server for remote and collaborative usage. The analysis features and ease of use of SeqPlots encourages wide data exploration, which should aid the discovery of novel genomic associations.",NA,Paper from Stempor Ahringer,NA,NA,NA,NA,NA,NA,1,NA,NA,https://wellcomeopenresearch.org/articles/1-14/v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robust long-read native DNA sequencing using the ONT CsgG Nanopore system,10.12688/wellcomeopenres.11246.2,NA,58060de0aee83e94258b4567,2398-502X,Wellcome Open Research,2,8653093,7.2580721940695,3449422,59,5165458,148,8.9391972789116,94,35,52,251673,12.747272163768,89165,63,160815,34,3.9366666666667,18,47,16,Jean-Michel Carter,Shobbir Hussain,NA,NA,NA,article,20383655,1.5.4,FALSE,5,4,4,1495539002,2.85,2.85,0,0,0,0,0,0,0,0,0,0,2.85,http://dx.doi.org/10.12688/wellcomeopenres.11246.2,1495465088,1495065600,0,0,0,0,https://badges.altmetric.com/?size=64&score=3&types=tttttttt,https://badges.altmetric.com/?size=100&score=3&types=tttttttt,https://badges.altmetric.com/?size=180&score=3&types=tttttttt,http://www.altmetric.com/details.php?citation_id=20383655,NA,NA,ONT CsgG #Nanopore system is a useful and practical tool to produce long sequence reads from human genomic #DNA,ONT CsgG-based #sequencing may be a useful option for long-read applications of complex #genomes #Nanopore,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Envy's pathology: Historical contexts,10.12688/wellcomeopenres.10415.2,NA,58060de0aee83e94258b4567,2398-502X,Wellcome Open Research,3,8554039,7.1669905120754,2168936,74,6367264,136,8.9234222222222,73,44,61,250473,12.652452952825,82451,66,167144,32,3.968064516129,14,56,18,NA,NA,NA,NA,NA,article,20702553,1.5.4,FALSE,5,4,4,1500989913,3.2,3.2,3.2,0,0,0,0,0,0,0,0,0,3.2,http://dx.doi.org/10.12688/wellcomeopenres.10415.2,1496160078,1495497600,0,1,0,1,https://badges.altmetric.com/?size=64&score=4&types=tttttttt,https://badges.altmetric.com/?size=100&score=4&types=tttttttt,https://badges.altmetric.com/?size=180&score=4&types=tttttttt,http://www.altmetric.com/details.php?citation_id=20702553,28748219,PMC5500894,Looking at #envy to compare historical vs. modern views of this emotion and how it could impact our #health,"Envy's Pathology, the physicality of #envy in #earlymodern contexts, former","#Envy was believed to be a destructive #emotion, hidden within mind body, therefore unstoppable",1,"This article is concerned with the physicality of envy primarily in early -modern, but also in eighteenth-century health contexts. The discussion brings together descriptions of the effects of envy on the body of the envier, mainly from works of physiology and health preservation, but also from literary and spiritual writings. These depictions of envy are studied beyond their symbolism and with a view to establish whether they are meaningful according to the medical theories of the time in which they occur. The discussion begins by acknowledging the status of envy as a 'disease' and looks to the specific ways in which the discourse of envy conveys this sense. I find that in the early modern discourse envy is always pathological, that is, it is experienced as disease and signifies disease in general and several diseases in particular. Moreover, envy is uniquely placed to convey pathology on account of its being connected to inherently pathogenic elements of the humoural theory. Specifically, envy is physiologically connected to melancholy, and the way it is presented comes close to attributes assigned to black bile. In addition, envy realizes pathology, the occurrence of disease in the body, by impairing the vital process of digestion and thus depriving the person from proper nourishment and sustenance. The analysis further considers how this impairment of the body fits with the physiological manifestation of envy as 'corrosion' and 'consumption'. Finding commonalities with other maladies mediated by these physiological signs the article concludes by considering the function of pathology in the conception of early modern envy.",Lina Minou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
